3001,4,3,6,14,7,18,17,23,16,22,33,37,0,42,32,47,49,57,46,50,65,70,63,62,66
3002,9,8,2,3,10,23,26,18,25,17,42,45,0,44,39,57,46,53,56,48,74,62,65,61,66
3003,12,4,1,2,11,28,30,22,21,23,38,40,0,36,43,55,57,49,47,59,66,71,74,72,69
3004,10,8,7,4,2,25,19,29,22,26,40,35,0,41,37,58,56,51,54,49,68,71,74,69,61
3005,1,3,4,9,6,26,29,22,24,30,45,44,0,35,41,48,57,50,49,56,68,70,66,72,75
3006,1,2,3,6,13,27,23,22,17,29,37,32,0,43,44,46,56,51,57,48,64,71,66,65,70
3007,5,8,9,15,6,28,27,17,18,22,40,44,0,31,38,51,49,55,48,56,67,70,62,65,63
3008,8,7,4,3,13,19,21,27,22,28,43,37,0,35,41,60,55,54,48,51,74,63,71,68,73
3009,3,6,5,4,1,26,21,24,16,30,39,38,0,31,42,60,58,46,53,49,61,64,70,73,71
3010,8,1,11,3,10,28,18,30,29,23,35,36,0,43,37,48,52,54,59,51,68,70,69,75,62
3011,8,4,5,10,3,30,19,21,25,28,38,33,0,40,45,55,56,51,59,58,73,64,70,61,72
3012,13,4,12,11,8,18,28,16,24,22,45,39,0,41,37,58,47,56,49,52,71,75,61,65,70
3013,13,7,15,3,5,18,29,20,25,30,41,31,0,45,44,55,49,54,46,56,63,61,70,65,64
3014,13,4,8,11,2,18,26,28,21,29,43,44,0,41,37,48,60,49,46,51,65,67,69,61,70
3015,3,4,15,6,12,18,29,23,30,17,38,44,0,32,43,46,48,55,50,56,61,73,63,71,74
3016,8,2,11,5,1,17,30,21,25,28,38,40,0,35,45,53,49,58,48,47,68,74,67,62,66
3017,9,4,3,6,8,28,24,20,16,25,34,33,0,37,44,60,55,59,53,48,73,72,67,71,62
3018,3,9,11,12,7,22,18,29,23,25,44,33,0,43,40,47,52,48,51,60,75,66,71,69,70
3019,5,13,14,2,11,23,28,25,27,29,38,32,0,40,43,50,54,49,56,48,70,65,66,73,75
3020,3,5,1,9,13,24,17,19,23,29,32,38,0,34,31,56,46,52,58,54,70,74,72,64,61
3021,8,1,2,9,13,26,29,18,24,19,42,41,0,32,45,46,60,55,57,50,72,61,65,63,69
3022,14,5,15,4,12,21,27,20,25,16,41,44,0,42,39,55,54,52,46,53,70,73,62,74,75
3023,8,9,12,4,14,25,23,27,20,17,31,45,0,38,34,51,57,50,46,60,66,69,72,71,64
3024,10,13,11,2,14,26,17,21,27,28,36,39,0,42,40,47,59,57,54,56,68,72,65,70,67
3025,6,9,15,12,14,23,19,18,17,27,44,34,0,36,42,58,49,53,59,60,75,69,64,68,71
3026,10,13,9,4,11,27,19,16,24,21,43,31,0,32,42,55,47,48,60,59,72,68,69,61,67
3027,6,2,9,4,8,25,22,29,19,26,40,37,0,42,45,54,60,55,50,59,75,70,62,66,74
3028,14,12,1,9,15,25,17,27,16,30,35,33,0,37,34,47,59,60,50,58,69,74,65,62,61
3029,12,7,2,8,9,27,21,26,16,20,43,32,0,31,45,47,49,57,50,53,65,75,63,64,66
3030,13,5,11,14,9,29,30,27,28,20,45,38,0,39,34,48,54,57,46,59,68,69,75,65,61
3031,2,7,3,8,12,18,23,25,29,20,42,44,0,31,43,48,55,51,46,58,70,75,71,67,74
3032,1,10,14,7,11,29,27,21,24,17,39,41,0,44,35,46,48,60,47,53,72,69,68,61,66
3033,4,14,13,12,1,17,18,30,29,19,34,45,0,39,42,58,49,47,60,54,66,73,70,68,65
3034,7,1,14,3,15,23,19,24,29,25,41,45,0,34,31,54,53,52,48,46,68,70,63,73,74
3035,6,15,4,11,9,17,23,22,29,16,32,40,0,44,43,46,49,57,60,52,67,74,73,63,61
3036,8,1,10,4,14,22,18,26,21,25,41,45,0,37,34,47,57,49,53,60,73,62,66,69,68
3037,11,13,15,2,7,24,20,26,21,30,45,34,0,31,32,48,57,49,56,50,74,68,65,72,73
3038,10,14,5,8,1,25,18,21,17,27,33,35,0,36,45,55,46,57,56,58,61,67,70,72,63
3039,10,5,13,12,2,20,26,21,28,27,44,37,0,38,42,59,60,52,47,58,75,71,67,64,65
3040,6,15,1,9,4,21,16,22,30,23,34,44,0,41,42,52,51,58,53,54,63,75,61,69,65
3041,1,11,4,8,5,26,19,20,29,24,43,33,0,45,35,53,58,50,60,52,62,74,73,69,61
3042,15,10,11,12,3,20,29,22,25,30,42,38,0,31,41,58,56,59,53,54,71,69,67,73,64
3043,3,15,14,5,6,23,19,29,26,25,31,39,0,33,38,50,55,46,57,60,67,74,71,69,70
3044,14,7,10,3,11,22,21,25,26,27,32,36,0,44,38,49,48,46,55,50,66,74,71,73,65
3045,3,8,4,2,5,21,19,26,18,24,35,39,0,44,41,49,47,46,50,53,74,63,65,67,69
3046,13,3,1,4,9,26,16,22,25,18,41,32,0,36,42,52,56,50,57,49,68,75,64,63,66
